ts,open,high,low,close,volume
2025-05-21 19:35:29,169.12,169.12,169.12,169.12,20.132167
2025-05-21 19:35:31,169.1,169.14,169.1,169.14,52.816077
2025-05-21 19:35:33,169.15,169.15,169.15,169.15,0.022586
2025-05-21 19:35:34,169.16,169.18,169.16,169.18,35.551795999999996
2025-05-21 19:35:38,169.2,169.2,169.2,169.2,0.154614
2025-05-21 19:35:39,169.21,169.22,169.21,169.22,16.224503
2025-05-21 19:35:41,169.23,169.23,169.23,169.23,2.004021
2025-05-21 19:35:42,169.24,169.24,169.24,169.24,47.011302
2025-05-21 19:35:44,169.23,169.23,169.2,169.2,16.717578
2025-05-21 19:35:50,169.23,169.23,169.2,169.2,13.565878
2025-05-21 19:35:51,169.19,169.19,169.18,169.18,31.784696999999998
2025-05-21 19:35:52,169.16,169.16,169.16,169.16,14.773989
2025-05-21 19:35:53,169.16,169.16,169.16,169.16,0.217663
2025-05-21 19:35:54,169.15,169.15,169.15,169.15,0.2
2025-05-21 19:35:56,169.14,169.14,169.14,169.14,2.967324
2025-05-21 19:35:57,169.13,169.13,169.13,169.13,1.15077
2025-05-21 19:36:00,169.12,169.12,169.12,169.12,0.126877
2025-05-21 19:36:02,169.11,169.16,169.11,169.16,2.269723
2025-05-21 19:36:03,169.18,169.18,169.18,169.18,0.622515
2025-05-21 19:36:04,169.2,169.2,169.2,169.2,3.2106000000000003
2025-05-21 19:36:07,169.2,169.2,169.2,169.2,12.598925
2025-05-21 19:36:08,169.22,169.28,169.22,169.28,30.421667
2025-05-21 19:36:09,169.28,169.29,169.28,169.29,1.271612
2025-05-21 19:36:12,169.29,169.3,169.29,169.3,15.311671
2025-05-21 19:36:13,169.3,169.32,169.3,169.32,44.013965
2025-05-21 19:36:14,169.33,169.33,169.33,169.33,13.709999999999999
2025-05-21 19:36:15,169.33,169.33,169.33,169.33,0.16
2025-05-21 19:36:18,169.33,169.33,169.32,169.32,0.618017
2025-05-21 19:36:19,169.34,169.34,169.34,169.34,40.662379
2025-05-21 19:36:20,169.34,169.34,169.32,169.32,1.4434339999999999
2025-05-21 19:36:22,169.33,169.33,169.32,169.32,0.264864
2025-05-21 19:36:24,169.31,169.31,169.22,169.22,42.60425
2025-05-21 19:36:25,169.21,169.21,169.13,169.13,1.5391569999999999
2025-05-21 19:36:27,169.15,169.15,169.15,169.15,0.098237
2025-05-21 19:36:28,169.18,169.22,169.18,169.22,57.248337
2025-05-21 19:36:29,169.22,169.22,169.21,169.21,23.973189
2025-05-21 19:36:31,169.2,169.2,169.2,169.2,0.98611
2025-05-21 19:36:32,169.19,169.19,169.18,169.18,24.98
2025-05-21 19:36:37,169.18,169.18,169.18,169.18,1.152736
2025-05-21 19:36:40,169.17,169.17,169.15,169.15,3.499356
2025-05-21 19:36:41,169.16,169.16,169.16,169.16,0.755171
2025-05-21 19:36:42,169.18,169.2,169.18,169.2,1.111625
2025-05-21 19:36:43,169.21,169.22,169.21,169.22,47.731457000000006
2025-05-21 19:36:46,169.24,169.25,169.24,169.25,1.5737040000000002
2025-05-21 19:36:49,169.24,169.24,169.24,169.24,0.006377
2025-05-21 19:36:50,169.24,169.24,169.24,169.24,0.013623
2025-05-21 19:36:51,169.26,169.28,169.26,169.28,3.2713940000000004
2025-05-21 19:36:52,169.29,169.3,169.29,169.3,0.01638
2025-05-21 19:36:53,169.31,169.31,169.31,169.31,0.59024
2025-05-21 19:36:56,169.33,169.35,169.33,169.34,11.653141
2025-05-21 19:36:57,169.35,169.35,169.35,169.35,0.001003
2025-05-21 19:37:00,169.34,169.37,169.34,169.37,28.249124
2025-05-21 19:37:01,169.37,169.39,169.37,169.39,1.109879
2025-05-21 19:37:02,169.39,169.39,169.37,169.37,0.129091
2025-05-21 19:37:03,169.38,169.38,169.38,169.38,1.416932
2025-05-21 19:37:04,169.34,169.34,169.33,169.33,0.677124
2025-05-21 19:37:06,169.32,169.33,169.32,169.33,7.60926
2025-05-21 19:37:07,169.35,169.39,169.35,169.39,6.014349
2025-05-21 19:37:08,169.39,169.47,169.39,169.46,231.303741
2025-05-21 19:37:09,169.44,169.44,169.44,169.44,2.296579
2025-05-21 19:37:10,169.41,169.44,169.41,169.43,47.467725
2025-05-21 19:37:12,169.42,169.45,169.42,169.45,3.364432
2025-05-21 19:37:14,169.45,169.48,169.45,169.48,5.426242
2025-05-21 19:37:16,169.48,169.49,169.48,169.49,1.3610030000000002
2025-05-21 19:37:17,169.48,169.5,169.48,169.5,139.643149
2025-05-21 19:37:18,169.5,169.51,169.5,169.51,1.453767
2025-05-21 19:37:19,169.51,169.51,169.49,169.51,1.045618
2025-05-21 19:37:20,169.5,169.5,169.5,169.5,1.346653
2025-05-21 19:37:22,169.48,169.48,169.46,169.46,30.732569
2025-05-21 19:37:24,169.48,169.48,169.48,169.48,0.118589
2025-05-21 19:37:25,169.49,169.49,169.49,169.49,0.3
2025-05-21 19:37:26,169.49,169.49,169.49,169.49,1.652015
2025-05-21 19:37:27,169.46,169.46,169.45,169.45,1.617912
2025-05-21 19:37:28,169.43,169.43,169.43,169.43,0.44661
2025-05-21 19:37:29,169.43,169.43,169.43,169.43,29.701251
2025-05-21 19:37:32,169.44,169.46,169.44,169.46,21.048287
2025-05-21 19:37:33,169.47,169.47,169.47,169.47,0.41
2025-05-21 19:37:34,169.48,169.48,169.48,169.48,1.002367
2025-05-21 19:37:35,169.47,169.47,169.46,169.46,0.246005
2025-05-21 19:37:37,169.45,169.45,169.43,169.45,87.65562200000001
2025-05-21 19:37:40,169.43,169.43,169.43,169.43,0.05
2025-05-21 19:37:41,169.42,169.42,169.42,169.42,1.613861
2025-05-21 19:37:42,169.41,169.41,169.4,169.4,46.942295
2025-05-21 19:37:43,169.39,169.39,169.39,169.39,0.29968
2025-05-21 19:37:44,169.37,169.42,169.36,169.42,149.887856
2025-05-21 19:37:46,169.43,169.47,169.43,169.47,0.17702400000000001
2025-05-21 19:37:50,169.48,169.57,169.48,169.55,206.910113
2025-05-21 19:37:51,169.54,169.55,169.54,169.55,1.040478
2025-05-21 19:37:52,169.55,169.55,169.55,169.55,0.011
2025-05-21 19:37:53,169.55,169.55,169.55,169.55,1.05
2025-05-21 19:37:57,169.56,169.56,169.56,169.56,6.901126
2025-05-21 19:37:58,169.56,169.57,169.56,169.57,48.404855
2025-05-21 19:37:59,169.58,169.58,169.58,169.58,6.842742
2025-05-21 19:38:00,169.59,169.59,169.58,169.58,0.40819
2025-05-21 19:38:01,169.58,169.58,169.58,169.58,9.244837
2025-05-21 19:38:04,169.58,169.58,169.5,169.5,53.922567
2025-05-21 19:38:06,169.48,169.49,169.48,169.49,0.726439
2025-05-21 19:38:07,169.48,169.48,169.45,169.45,0.699486
2025-05-21 19:38:08,169.41,169.41,169.41,169.41,0.16
2025-05-21 19:38:09,169.42,169.5,169.42,169.5,64.458235
2025-05-21 19:38:10,169.5,169.5,169.49,169.5,7.288964
2025-05-21 19:38:12,169.52,169.55,169.52,169.55,0.648463
2025-05-21 19:38:14,169.54,169.55,169.53,169.53,15.420867999999999
2025-05-21 19:38:15,169.51,169.51,169.51,169.51,0.277089
2025-05-21 19:38:16,169.52,169.55,169.52,169.55,2.772406
2025-05-21 19:38:20,169.54,169.54,169.53,169.53,48.120236999999996
2025-05-21 19:38:21,169.52,169.52,169.52,169.52,0.46042000000000005
2025-05-21 19:38:23,169.53,169.53,169.53,169.53,0.36826
2025-05-21 19:38:24,169.54,169.57,169.54,169.57,0.41174700000000003
2025-05-21 19:38:25,169.57,169.61,169.57,169.61,19.751135
2025-05-21 19:38:26,169.61,169.61,169.61,169.61,0.001719
2025-05-21 19:38:27,169.62,169.62,169.62,169.62,0.117798
2025-05-21 19:38:28,169.62,169.7,169.62,169.7,90.3614
2025-05-21 19:38:29,169.71,169.71,169.71,169.71,48.056789
2025-05-21 19:38:30,169.71,169.74,169.71,169.74,94.238866
2025-05-21 19:38:31,169.75,169.76,169.75,169.76,67.973291
2025-05-21 19:38:32,169.76,169.76,169.74,169.74,158.68965
2025-05-21 19:38:33,169.73,169.75,169.73,169.75,31.651989999999998
2025-05-21 19:38:34,169.73,169.73,169.69,169.7,29.221657999999998
2025-05-21 19:38:39,169.72,169.72,169.71,169.71,73.310086
2025-05-21 19:38:40,169.7,169.7,169.67,169.67,5.6405400000000006
2025-05-21 19:38:41,169.66,169.66,169.66,169.66,0.156342
2025-05-21 19:38:42,169.68,169.74,169.68,169.74,25.932453
2025-05-21 19:38:44,169.72,169.72,169.71,169.71,47.487787
2025-05-21 19:38:45,169.73,169.73,169.73,169.73,2.263
2025-05-21 19:38:48,169.73,169.79,169.73,169.79,23.569992
2025-05-21 19:38:49,169.8,169.8,169.79,169.79,5.971104
2025-05-21 19:38:50,169.78,169.78,169.75,169.75,80.286632
2025-05-24 12:17:23,176.2,176.2,176.19,176.19,1.813512
2025-05-24 12:17:24,176.2,176.2,176.2,176.2,1.0849959999999998
2025-05-24 12:17:26,176.21,176.22,176.21,176.22,0.234691
2025-05-24 12:17:27,176.23,176.23,176.23,176.23,1.767355
2025-05-24 12:17:28,176.21,176.21,176.21,176.21,1.0
2025-05-24 12:17:31,176.21,176.21,176.19,176.2,31.44522
2025-05-24 12:17:32,176.2,176.2,176.19,176.19,2.942724
2025-05-24 12:17:33,176.2,176.34,176.2,176.31,688.680586
2025-05-24 12:17:34,176.31,176.32,176.31,176.32,29.607731
2025-05-24 12:17:35,176.33,176.33,176.33,176.33,2.510489
2025-05-24 12:17:37,176.34,176.38,176.34,176.37,2.531133
2025-05-24 12:17:38,176.37,176.37,176.37,176.37,1.451495
2025-05-24 12:17:39,176.35,176.35,176.35,176.35,1.21764
2025-05-24 12:17:41,176.33,176.33,176.33,176.33,1.3916739999999999
2025-05-24 12:17:44,176.32,176.32,176.32,176.32,0.285836
2025-05-24 12:17:45,176.33,176.33,176.29,176.29,41.338589
2025-05-24 12:17:49,176.3,176.31,176.3,176.31,0.388428
2025-05-24 12:17:53,176.3,176.3,176.3,176.3,0.002828
2025-05-24 12:17:55,176.3,176.3,176.3,176.3,4.095568
2025-05-24 12:17:56,176.31,176.33,176.31,176.33,1.079922
2025-05-24 12:17:57,176.34,176.34,176.34,176.34,0.117953
2025-05-24 12:17:58,176.34,176.34,176.34,176.34,0.023782
2025-05-24 12:17:59,176.34,176.34,176.34,176.34,1.023892
2025-05-24 12:18:00,176.34,176.34,176.28,176.28,26.740731
2025-05-24 12:18:05,176.3,176.31,176.3,176.31,0.146149
2025-05-24 12:18:07,176.32,176.33,176.32,176.33,1.006454
2025-05-24 12:18:11,176.35,176.35,176.35,176.35,0.92092
2025-05-24 12:18:14,176.35,176.35,176.35,176.35,0.047349
2025-05-24 12:18:18,176.35,176.36,176.35,176.36,0.430442
2025-05-24 12:18:19,176.38,176.38,176.38,176.38,3.44852
2025-05-24 12:18:20,176.38,176.38,176.38,176.38,0.025031
2025-05-24 12:18:24,176.38,176.38,176.38,176.38,3.255184
2025-05-24 12:18:25,176.4,176.42,176.4,176.42,0.506915
2025-05-24 12:18:26,176.44,176.47,176.44,176.47,0.736184
2025-05-24 12:18:27,176.48,176.48,176.48,176.48,0.4956
2025-05-24 12:18:29,176.5,176.51,176.5,176.51,0.696715
2025-05-24 12:18:36,176.51,176.51,176.51,176.51,1.708916
2025-05-24 12:18:37,176.5,176.5,176.5,176.5,1.7
2025-05-24 12:18:38,176.49,176.49,176.46,176.46,48.164257
2025-05-24 12:18:42,176.45,176.45,176.42,176.42,4.290687
2025-05-24 12:18:43,176.43,176.43,176.43,176.43,0.233857
2025-05-24 12:18:44,176.44,176.44,176.44,176.44,1.7
2025-05-24 12:18:47,176.44,176.44,176.44,176.44,0.023512
2025-05-24 12:18:49,176.44,176.45,176.44,176.45,87.402561
2025-05-24 12:18:51,176.45,176.45,176.42,176.42,16.531451999999998
2025-05-24 12:18:52,176.41,176.41,176.37,176.37,5.227771
2025-05-24 12:18:54,176.36,176.36,176.36,176.36,0.079522
2025-05-24 12:18:56,176.38,176.38,176.27,176.27,145.321899
2025-05-24 12:18:57,176.25,176.25,176.24,176.24,2.044454
2025-05-24 12:18:58,176.24,176.28,176.24,176.28,28.813642
2025-05-24 12:18:59,176.29,176.31,176.29,176.31,3.990622
2025-05-24 12:19:01,176.32,176.32,176.32,176.32,3.883067
2025-05-24 12:19:02,176.34,176.36,176.34,176.36,0.780619
2025-05-24 12:19:03,176.35,176.38,176.35,176.38,14.202582
2025-05-24 12:19:04,176.4,176.43,176.4,176.43,133.541946
2025-05-24 12:19:07,176.44,176.44,176.41,176.41,12.235604
2025-05-24 12:19:08,176.41,176.41,176.41,176.41,0.001
2025-05-24 12:19:10,176.41,176.41,176.38,176.38,14.641546000000002
2025-05-24 12:19:14,176.39,176.39,176.39,176.39,0.150316
2025-05-24 12:19:21,176.39,176.39,176.39,176.39,0.006427
2025-05-24 12:19:23,176.4,176.42,176.4,176.42,31.469107
2025-05-24 12:19:24,176.44,176.47,176.44,176.47,3.230989
2025-05-24 12:19:25,176.48,176.5,176.48,176.5,25.447975
