ts,open,high,low,close,volume
2025-05-01 00:00:00,94169.390625,94194.3515625,94169.390625,94178.4609375,0
2025-05-01 00:05:00,94228.34375,94262.4609375,94228.34375,94262.4609375,7714816
2025-05-01 00:10:00,94329.140625,94356.515625,94329.140625,94336.328125,0
2025-05-01 00:15:00,94324.96875,94324.96875,94240.03125,94240.03125,694458368
2025-05-01 00:20:00,94243.03125,94260.9296875,94228.4921875,94260.9296875,35063808
2025-05-01 00:25:00,94267.15625,94296.46875,94267.15625,94280.1015625,0
2025-05-01 00:30:00,94271.1015625,94277.734375,94259.375,94259.375,35125248
2025-05-01 00:35:00,94289.6328125,94289.6328125,94251.9296875,94274.34375,0
2025-05-01 00:40:00,94266.421875,94303.7890625,94266.421875,94303.7890625,0
2025-05-01 00:45:00,94308.6640625,94379.953125,94308.6640625,94379.953125,0
2025-05-01 00:50:00,94386.21875,94386.21875,94382.90625,94385.4609375,0
2025-05-01 00:55:00,94386.59375,94386.59375,94351.0859375,94372.2890625,721577984
2025-05-01 01:00:00,94422.2734375,94455.8125,94422.2734375,94455.8125,0
2025-05-01 01:05:00,94496.8828125,94568.9453125,94481.5703125,94568.9453125,187353088
2025-05-01 01:10:00,94568.609375,94576.328125,94554.4609375,94554.4609375,59822080
2025-05-01 01:15:00,94545.8828125,94669.53125,94545.8828125,94669.53125,698089472
2025-05-01 01:20:00,94680.65625,94680.65625,94627.3828125,94627.3828125,41119744
2025-05-01 01:25:00,94634.921875,94669.4609375,94634.921875,94661.765625,0
2025-05-01 01:30:00,94642.9375,94688.3359375,94627.1484375,94688.3359375,22208512
2025-05-01 01:35:00,94692.2265625,94692.2265625,94672.4375,94690.21875,1102848000
2025-05-01 01:40:00,94542.15625,94583.078125,94531.78125,94583.078125,0
2025-05-01 01:45:00,94709.96875,94709.96875,94634.0546875,94639.2265625,766875648
2025-05-01 01:50:00,94611.1015625,94657.265625,94611.1015625,94657.265625,7399424
2025-05-01 01:55:00,94654.4453125,94676.1171875,94607.1796875,94610.8203125,0
2025-05-01 02:00:00,94656.109375,94688.2578125,94656.109375,94688.2578125,0
2025-05-01 02:05:00,94698.0859375,94790.7265625,94698.0859375,94790.7265625,0
2025-05-01 02:10:00,94810.5234375,94810.5234375,94763.9609375,94763.9609375,911972352
2025-05-01 02:15:00,94731.9765625,94781.8046875,94731.9765625,94757.171875,23322624
2025-05-01 02:20:00,94773.5625,94781.484375,94773.5625,94781.484375,51736576
2025-05-01 02:25:00,94797.8984375,94914.9140625,94797.8984375,94914.9140625,0
2025-05-01 02:30:00,94943.09375,94972.9453125,94895.21875,94901.5625,167122944
2025-05-01 02:35:00,94899.484375,94964.3203125,94899.484375,94964.3203125,126961664
2025-05-01 02:40:00,94935.203125,94935.203125,94846.28125,94846.28125,0
2025-05-01 02:45:00,94904.5390625,94933.703125,94879.0,94879.0,124811264
2025-05-01 02:50:00,94835.2734375,94835.2734375,94803.5625,94803.5625,0
2025-05-01 02:55:00,94810.921875,94840.7734375,94810.921875,94833.171875,0
2025-05-01 03:00:00,94845.234375,94903.375,94845.234375,94903.375,772106240
2025-05-01 03:05:00,94917.1796875,94930.921875,94917.1796875,94926.515625,0
2025-05-01 03:10:00,94943.0703125,94985.359375,94870.65625,94870.65625,416774144
2025-05-01 03:15:00,94748.8125,94760.7734375,94735.0390625,94735.0390625,0
2025-05-01 03:20:00,94723.9140625,94790.703125,94723.9140625,94790.703125,739551232
2025-05-01 03:25:00,94797.078125,94825.3671875,94797.078125,94825.3671875,0
2025-05-01 03:30:00,94825.5703125,94850.3203125,94794.8828125,94794.8828125,750983168
2025-05-01 03:35:00,94882.6796875,94939.234375,94875.2265625,94875.2265625,0
2025-05-01 03:40:00,94798.71875,94860.8125,94798.71875,94860.8125,859998208
2025-05-01 03:45:00,94857.78125,94857.78125,94742.3125,94766.4296875,83384320
2025-05-01 03:50:00,94776.15625,94776.15625,94760.3125,94766.0625,0
2025-05-01 03:55:00,94744.5859375,94788.671875,94744.5859375,94788.671875,0
2025-05-01 04:00:00,94782.890625,94815.5234375,94771.515625,94771.515625,0
2025-05-01 04:05:00,94793.734375,94865.5546875,94793.734375,94844.6171875,0
2025-05-01 04:10:00,94847.0546875,94880.140625,94829.1328125,94829.1328125,0
2025-05-01 04:15:00,94834.3359375,94838.4296875,94799.4609375,94799.4609375,38219776
2025-05-01 04:20:00,94778.09375,94841.9921875,94778.09375,94841.9921875,0
2025-05-01 04:25:00,94835.765625,94835.765625,94777.109375,94777.109375,0
2025-05-01 04:30:00,94759.65625,94768.3671875,94755.6640625,94762.65625,0
2025-05-01 04:35:00,94790.5078125,94816.8046875,94777.5234375,94777.5234375,29263872
2025-05-01 04:40:00,94766.9140625,94820.078125,94766.9140625,94820.078125,0
2025-05-01 04:45:00,94819.078125,94860.2109375,94819.078125,94860.2109375,0
2025-05-01 04:50:00,94864.0234375,94878.375,94855.125,94878.375,0
2025-05-01 04:55:00,94871.6953125,94915.859375,94871.6953125,94882.953125,0
