ts,price,size,side,trade_id
'2025-05-21 19:37:07.387,14.104,53.5886,buy,70507862
'2025-05-21 19:37:07.387,14.104,19.1417,buy,70507863
'2025-05-21 19:37:07.390,14.105,155.1384,buy,70507869
'2025-05-21 19:37:07.394,14.106,27.2434,buy,70507874
'2025-05-21 19:37:07.395,14.107,114.9283,buy,70507879
'2025-05-21 19:37:07.399,14.108,164.769,buy,70507885
'2025-05-21 19:37:07.461,14.109,20.2428,buy,70507888
'2025-05-21 19:37:07.490,14.109,0.1029,sell,70507889
'2025-05-21 19:37:09.133,14.104,23.6893,sell,70507890
'2025-05-21 19:37:09.209,14.101,3.627,sell,70507891
'2025-05-21 19:37:09.209,14.1,1.3088,sell,70507892
'2025-05-21 19:37:09.722,14.104,62.908,buy,70507893
'2025-05-21 19:37:09.957,14.103,0.15,sell,70507894
'2025-05-21 19:37:09.957,14.102,0.15,sell,70507895
'2025-05-21 19:37:09.957,14.101,1.15,sell,70507897
'2025-05-21 19:37:11.567,14.107,28.1576,buy,70507899
'2025-05-21 19:37:12.357,14.103,27.0646,buy,70507901
'2025-05-21 19:37:12.357,14.105,17.9287,buy,70507903
'2025-05-21 19:37:12.357,14.106,136.0409,buy,70507907
'2025-05-21 19:37:12.357,14.107,139.8607,buy,70507910
'2025-05-21 19:37:12.357,14.108,179.9321,buy,70507915
'2025-05-21 19:37:12.362,14.108,381.9181,sell,70507916
'2025-05-21 19:37:12.362,14.108,130.8778,sell,70507917
'2025-05-21 19:37:12.363,14.108,304.1829,sell,70507918
'2025-05-21 19:37:12.364,14.108,256.5877,sell,70507919
'2025-05-21 19:37:13.571,14.109,10.1704,buy,70507920
'2025-05-21 19:37:15.374,14.11,18.9278,buy,70507923
'2025-05-21 19:37:15.387,14.111,0.6629,buy,70507925
'2025-05-21 19:37:15.395,14.112,1.1199,buy,70507930
'2025-05-21 19:37:15.395,14.113,235.3806,buy,70507932
'2025-05-21 19:37:15.434,14.114,4.7615,buy,70507935
'2025-05-21 19:37:16.406,14.115,78.5942,buy,70507941
'2025-05-21 19:37:16.493,14.117,2.2441,buy,70507945
'2025-05-21 19:37:16.496,14.118,0.2056,buy,70507946
'2025-05-21 19:37:16.498,14.119,0.5357,buy,70507949
'2025-05-21 19:37:16.503,14.119,0.2348,sell,70507950
'2025-05-21 19:37:16.770,14.12,3.5218,buy,70507953
'2025-05-21 19:37:16.773,14.12,13.405,buy,70507957
'2025-05-21 19:37:16.773,14.12,11.8901,buy,70507960
'2025-05-21 19:37:16.899,14.121,3.8772,buy,70507964
'2025-05-21 19:37:16.899,14.122,2.4397,buy,70507966
'2025-05-21 19:37:16.899,14.123,14.4249,buy,70507968
'2025-05-21 19:37:16.899,14.124,93.2407,buy,70507971
'2025-05-21 19:37:16.963,14.124,0.21,sell,70507972
'2025-05-21 19:37:17.272,14.124,0.7636,sell,70507973
'2025-05-21 19:37:17.278,14.125,16.3251,buy,70507978
'2025-05-21 19:37:17.337,14.126,0.3842,buy,70507980
'2025-05-21 19:37:17.345,14.126,1.7505,sell,70507981
'2025-05-21 19:37:17.352,14.126,38.3471,sell,70507985
'2025-05-21 19:37:17.478,14.127,1.3589,buy,70507986
'2025-05-21 19:37:17.537,14.128,1.1614,buy,70507987
'2025-05-21 19:37:17.537,14.129,0.6114,buy,70507990
'2025-05-21 19:37:17.635,14.13,72.1628,buy,70507993
'2025-05-21 19:37:17.850,14.13,0.1022,sell,70507994
'2025-05-21 19:37:17.962,14.13,1.42,sell,70507995
'2025-05-21 19:37:18.010,14.13,0.1083,sell,70507996
'2025-05-21 19:37:18.223,14.13,34.8401,sell,70507999
'2025-05-21 19:37:18.456,14.129,0.7624,sell,70508000
'2025-05-21 19:37:18.456,14.129,1.8242,sell,70508001
'2025-05-21 19:37:18.506,14.128,91.027,buy,70508005
'2025-05-21 19:37:19.963,14.127,0.13,sell,70508006
'2025-05-21 19:37:23.090,14.13,7.201,sell,70508007
'2025-05-21 19:37:24.100,14.131,0.2415,sell,70508008
'2025-05-21 19:37:24.212,14.132,0.1464,buy,70508009
'2025-05-21 19:37:24.968,14.132,0.46,sell,70508010
'2025-05-21 19:37:25.316,14.127,0.5302,sell,70508011
'2025-05-21 19:37:26.641,14.128,27.85,sell,70508012
'2025-05-21 19:37:26.792,14.126,0.5379,sell,70508014
'2025-05-21 19:37:26.811,14.13,0.7295,buy,70508015
'2025-05-21 19:37:27.037,14.13,0.15,sell,70508016
'2025-05-21 19:37:27.037,14.129,70.7491,sell,70508018
'2025-05-21 19:37:28.372,14.132,70.599,sell,70508019
'2025-05-21 19:37:28.382,14.132,70.599,sell,70508020
'2025-05-21 19:37:30.244,14.129,5.0641,buy,70508021
'2025-05-21 19:37:30.952,14.127,0.15,sell,70508022
