ts,open,high,low,close,volume,break,regime
2025-05-01 00:05:00,1795.20556640625,1796.8193359375,1795.20556640625,1796.6978759765625,0,0,3
2025-05-01 00:10:00,1797.9095458984375,1798.5765380859375,1796.869873046875,1796.869873046875,0,0,3
2025-05-01 00:15:00,1795.9959716796875,1795.9959716796875,1794.18701171875,1794.2747802734375,672181248,0,3
2025-05-01 00:20:00,1794.7396240234375,1794.7396240234375,1794.5389404296875,1794.5582275390625,66464768,0,3
2025-05-01 00:25:00,1795.640625,1795.640625,1794.9072265625,1794.9072265625,0,0,3
2025-05-01 00:30:00,1794.1544189453125,1794.469482421875,1794.1544189453125,1794.469482421875,8428544,0,3
2025-05-01 00:35:00,1795.2652587890625,1795.420654296875,1794.5780029296875,1795.420654296875,0,0,3
2025-05-01 00:40:00,1795.6396484375,1796.75439453125,1795.6396484375,1796.75439453125,0,0,3
2025-05-01 00:45:00,1796.1759033203125,1797.916259765625,1796.1759033203125,1797.916259765625,0,0,3
2025-05-01 00:50:00,1797.7950439453125,1798.103271484375,1797.7950439453125,1797.8575439453125,0,0,3
2025-05-01 00:55:00,1797.6820068359375,1797.6820068359375,1796.6038818359375,1796.96337890625,699518976,0,3
2025-05-01 01:00:00,1798.7135009765625,1800.5169677734375,1798.7135009765625,1800.5169677734375,0,0,3
2025-05-01 01:05:00,1802.0487060546875,1803.7987060546875,1801.9029541015625,1803.7987060546875,0,0,3
2025-05-01 01:10:00,1804.9111328125,1804.9111328125,1803.1171875,1803.1171875,72503296,0,3
2025-05-01 01:15:00,1803.0169677734375,1805.5380859375,1803.0169677734375,1805.5380859375,0,0,3
2025-05-01 01:20:00,1804.8177490234375,1805.27587890625,1803.9124755859375,1803.9124755859375,735345664,0,3
2025-05-01 01:25:00,1803.0684814453125,1803.09375,1802.331787109375,1803.09375,0,0,3
2025-05-01 01:30:00,1802.9676513671875,1804.69482421875,1802.9676513671875,1804.69482421875,10230784,0,3
2025-05-01 01:35:00,1804.684814453125,1805.5211181640625,1804.5946044921875,1805.5211181640625,23217152,0,3
2025-05-01 01:40:00,1802.25244140625,1802.25244140625,1801.134521484375,1801.7498779296875,0,0,3
2025-05-01 01:45:00,1804.1507568359375,1804.1507568359375,1802.4281005859375,1802.908935546875,725731328,0,3
2025-05-01 01:50:00,1803.6358642578125,1804.114013671875,1803.2138671875,1804.114013671875,0,0,3
2025-05-01 01:55:00,1808.0618896484375,1809.3936767578125,1808.0618896484375,1808.6815185546875,0,0,3
2025-05-01 02:00:00,1810.4068603515625,1810.4068603515625,1808.4034423828125,1808.479248046875,0,0,3
2025-05-01 02:05:00,1810.9501953125,1815.01123046875,1810.9501953125,1815.01123046875,0,0,3
2025-05-01 02:10:00,1815.1405029296875,1815.5635986328125,1813.3978271484375,1813.3978271484375,757868544,0,3
2025-05-01 02:15:00,1810.873291015625,1814.6116943359375,1810.873291015625,1814.6116943359375,328552448,0,3
2025-05-01 02:20:00,1814.8876953125,1814.8876953125,1812.328125,1812.328125,0,0,3
2025-05-01 02:25:00,1812.570068359375,1814.8389892578125,1812.570068359375,1814.8389892578125,0,0,3
2025-05-01 02:30:00,1815.2772216796875,1815.2772216796875,1813.5506591796875,1813.5506591796875,28042240,0,3
2025-05-01 02:35:00,1813.429443359375,1818.24365234375,1813.429443359375,1818.24365234375,0,0,3
