ts,open,high,low,close,volume
2025-05-21 19:35:29,0.8304,0.8307,0.8304,0.8307,1712.833
2025-05-21 19:35:30,0.8305,0.8305,0.8305,0.8305,6.02
2025-05-21 19:35:33,0.8304,0.8304,0.8303,0.8303,64.475
2025-05-21 19:35:34,0.8305,0.8305,0.8305,0.8305,38.214
2025-05-21 19:35:37,0.8305,0.8305,0.8305,0.8305,142.088
2025-05-21 19:35:38,0.8304,0.8304,0.8304,0.8304,352.293
2025-05-21 19:35:39,0.8305,0.8308,0.8305,0.8306,1550.825
2025-05-21 19:35:40,0.8309,0.831,0.8309,0.8309,985.379
2025-05-21 19:35:42,0.8307,0.8307,0.8307,0.8307,12.04
2025-05-21 19:35:43,0.8307,0.8307,0.8306,0.8307,6842.563
2025-05-21 19:35:44,0.8306,0.8306,0.8306,0.8306,3.473
2025-05-21 19:35:45,0.8308,0.8308,0.8308,0.8308,9.888
2025-05-21 19:35:47,0.8308,0.8308,0.8308,0.8308,84.513
2025-05-21 19:35:48,0.8309,0.831,0.8309,0.831,1153.9360000000001
2025-05-21 19:35:51,0.8309,0.8309,0.8309,0.8309,20.459
2025-05-21 19:35:52,0.8307,0.8307,0.8307,0.8307,150.0
2025-05-21 19:35:57,0.8307,0.8307,0.8305,0.8306,1270.328
2025-05-21 19:35:58,0.8308,0.8309,0.8307,0.8307,770.2730000000001
2025-05-21 19:35:59,0.8308,0.8309,0.8308,0.8309,265.662
2025-05-21 19:36:00,0.8309,0.8309,0.8309,0.8309,240.802
2025-05-21 19:36:01,0.831,0.831,0.831,0.831,642.572
2025-05-21 19:36:02,0.8311,0.8313,0.8311,0.8313,2611.944
2025-05-21 19:36:03,0.8313,0.8313,0.8313,0.8313,16.841
2025-05-21 19:36:04,0.8312,0.8312,0.8312,0.8312,37.768
2025-05-21 19:36:05,0.8311,0.8311,0.8311,0.8311,64.464
2025-05-21 19:36:06,0.8313,0.8314,0.8313,0.8313,2777.191
2025-05-21 19:36:07,0.8314,0.8318,0.8314,0.8318,555.339
2025-05-21 19:36:08,0.8319,0.8322,0.8319,0.8322,11329.395999999999
2025-05-21 19:36:09,0.8322,0.8323,0.8319,0.8319,251.224
2025-05-21 19:36:11,0.8321,0.8321,0.8321,0.8321,350.293
2025-05-21 19:36:12,0.8323,0.8323,0.8323,0.8323,1450.569
2025-05-21 19:36:13,0.8322,0.8325,0.8322,0.8324,207.755
2025-05-21 19:36:14,0.8324,0.8325,0.8324,0.8325,15.555
2025-05-21 19:36:15,0.8324,0.8324,0.8324,0.8324,5.237
2025-05-21 19:36:17,0.8324,0.8324,0.8321,0.8321,2066.9109999999996
2025-05-21 19:36:18,0.8322,0.8322,0.8322,0.8322,12.178
2025-05-21 19:36:19,0.8322,0.8323,0.8322,0.8322,137.464
2025-05-21 19:36:20,0.8322,0.8323,0.8322,0.8323,642.396
2025-05-21 19:36:21,0.8322,0.8322,0.832,0.832,2376.158
2025-05-21 19:36:22,0.8319,0.8319,0.8319,0.8319,255.207
2025-05-21 19:36:23,0.8318,0.8318,0.8315,0.8316,1994.3970000000002
2025-05-21 19:36:26,0.8314,0.8314,0.8312,0.8312,2076.223
2025-05-21 19:36:28,0.8311,0.8312,0.8311,0.8312,1272.673
2025-05-21 19:36:29,0.8312,0.8312,0.8312,0.8312,692.937
2025-05-21 19:36:30,0.8312,0.8313,0.8312,0.8313,516.691
2025-05-21 19:36:31,0.8313,0.8313,0.8313,0.8313,38.788
2025-05-21 19:36:32,0.8315,0.8315,0.8311,0.8314,991.255
2025-05-21 19:36:34,0.8315,0.8315,0.8315,0.8315,3.837
2025-05-21 19:36:35,0.8316,0.8318,0.8316,0.8318,1507.595
2025-05-21 19:36:37,0.8316,0.8316,0.8313,0.8314,4548.95
2025-05-21 19:36:40,0.8314,0.8318,0.8314,0.8318,210.2
2025-05-21 19:36:41,0.8316,0.8316,0.8316,0.8316,500.0
2025-05-21 19:36:42,0.8318,0.832,0.8318,0.8318,570.167
2025-05-21 19:36:43,0.8318,0.832,0.8318,0.832,114.96199999999999
2025-05-21 19:36:45,0.832,0.832,0.832,0.832,48.935
2025-05-21 19:36:48,0.8317,0.832,0.8317,0.832,3.292
2025-05-21 19:36:50,0.8317,0.8317,0.8317,0.8317,314.537
2025-05-21 19:36:52,0.8316,0.8319,0.8316,0.8318,506.399
2025-05-21 19:36:53,0.8317,0.8318,0.8317,0.8318,122.674
2025-05-21 19:36:56,0.8318,0.8318,0.8318,0.8318,12.912
2025-05-21 19:36:57,0.8318,0.8318,0.8318,0.8318,35.487
2025-05-21 19:36:58,0.8318,0.8318,0.8317,0.8317,1304.453
2025-05-21 19:36:59,0.8319,0.8319,0.8317,0.8319,885.643
2025-05-21 19:37:00,0.8317,0.8322,0.8317,0.8322,1009.543
2025-05-21 19:37:01,0.8318,0.832,0.8318,0.832,19.165
2025-05-21 19:37:03,0.8319,0.8319,0.8315,0.8315,3172.899
2025-05-21 19:37:04,0.8314,0.8314,0.831,0.831,1179.725
2025-05-21 19:37:05,0.831,0.8311,0.831,0.8311,1906.638
2025-05-21 19:37:06,0.831,0.8312,0.831,0.8312,1988.5679999999998
2025-05-21 19:37:07,0.831,0.8311,0.831,0.8311,166.949
2025-05-21 19:37:08,0.8313,0.832,0.8313,0.832,12666.143
2025-05-21 19:37:09,0.8318,0.8318,0.8315,0.8315,2553.678
2025-05-21 19:37:10,0.8315,0.8315,0.8314,0.8314,1868.112
2025-05-21 19:37:11,0.8313,0.8313,0.8312,0.8312,64.577
2025-05-21 19:37:12,0.8312,0.8312,0.8312,0.8312,137.603
2025-05-21 19:37:13,0.8313,0.8314,0.8313,0.8314,117.689
2025-05-21 19:37:16,0.8312,0.8312,0.831,0.831,5107.723
2025-05-21 19:37:18,0.8313,0.8314,0.831,0.831,944.2660000000001
2025-05-21 19:37:22,0.8312,0.8312,0.8312,0.8312,121.499
2025-05-21 19:37:24,0.8314,0.8314,0.8314,0.8314,86.456
2025-05-21 19:37:25,0.8314,0.8316,0.8314,0.8316,115.065
2025-05-21 19:37:27,0.8313,0.8313,0.8312,0.8312,5164.044
2025-05-21 19:37:29,0.8311,0.8317,0.8311,0.8317,214.574
2025-05-21 19:37:31,0.8316,0.8318,0.8316,0.8318,2076.663
2025-05-21 19:37:32,0.8318,0.8318,0.8318,0.8318,2.746
2025-05-21 19:37:35,0.8319,0.8319,0.8319,0.8319,14.621
2025-05-21 19:37:39,0.832,0.8323,0.832,0.8323,3508.7889999999998
2025-05-21 19:37:40,0.8323,0.8323,0.8323,0.8323,71.06
2025-05-21 19:37:42,0.832,0.8322,0.832,0.8322,66.48
2025-05-21 19:37:44,0.832,0.8323,0.832,0.8323,4276.223
2025-05-21 19:37:45,0.8323,0.8327,0.8323,0.8327,11039.425
2025-05-21 19:37:46,0.8327,0.833,0.8327,0.8329,5019.451999999999
2025-05-21 19:37:48,0.8329,0.8329,0.8326,0.8326,1647.1109999999999
2025-05-21 19:37:50,0.8329,0.8339,0.8329,0.8336,18497.567
