ts,open,high,low,close,volume
2025-05-21 19:35:29,1.3167e-05,1.3167e-05,1.3167e-05,1.3167e-05,3480366
2025-05-21 19:35:30,1.3167e-05,1.3173e-05,1.3167e-05,1.3173e-05,95305570
2025-05-21 19:35:31,1.3173e-05,1.3173e-05,1.3173e-05,1.3173e-05,10000000
2025-05-21 19:35:34,1.3175e-05,1.3175e-05,1.3172e-05,1.3172e-05,36000000
2025-05-21 19:35:35,1.3174e-05,1.3174e-05,1.3174e-05,1.3174e-05,90000000
2025-05-21 19:35:36,1.3175e-05,1.3175e-05,1.3175e-05,1.3175e-05,31796700
2025-05-21 19:35:37,1.3173e-05,1.3173e-05,1.3173e-05,1.3173e-05,150000000
2025-05-21 19:35:38,1.3177e-05,1.3179e-05,1.3177e-05,1.3179e-05,126211891
2025-05-21 19:35:39,1.3181e-05,1.3181e-05,1.3181e-05,1.3181e-05,67456545
2025-05-21 19:35:45,1.3181e-05,1.3181e-05,1.3181e-05,1.3181e-05,37439950
2025-05-21 19:35:47,1.3187e-05,1.3187e-05,1.3187e-05,1.3187e-05,151664
2025-05-21 19:35:48,1.3183e-05,1.3183e-05,1.3181e-05,1.3181e-05,25851754
2025-05-21 19:35:49,1.3181e-05,1.3181e-05,1.3181e-05,1.3181e-05,104932858
2025-05-21 19:35:50,1.3182e-05,1.3182e-05,1.318e-05,1.3181e-05,107570057
2025-05-21 19:35:51,1.3179e-05,1.3179e-05,1.3179e-05,1.3179e-05,8800000
2025-05-21 19:35:53,1.3177e-05,1.3177e-05,1.3177e-05,1.3177e-05,40137043
2025-05-21 19:35:54,1.3176e-05,1.3176e-05,1.3171e-05,1.3171e-05,37589556
2025-05-21 19:36:00,1.317e-05,1.317e-05,1.3165e-05,1.3165e-05,6974234
2025-05-21 19:36:02,1.317e-05,1.317e-05,1.317e-05,1.317e-05,85186029
2025-05-21 19:36:03,1.3169e-05,1.3176e-05,1.3168e-05,1.3176e-05,46431975
2025-05-21 19:36:07,1.3178e-05,1.3178e-05,1.3178e-05,1.3178e-05,7992712
2025-05-21 19:36:08,1.3181e-05,1.3189e-05,1.3181e-05,1.3189e-05,420810807
