ts,price,size,side,trade_id
'2025-05-21 19:36:18.453,0.228,6860.169295,buy,349240220
'2025-05-21 19:36:18.453,0.228,3053.284532,buy,349240222
'2025-05-21 19:36:18.456,0.22801,10.769961,buy,349240223
'2025-05-21 19:36:18.490,0.22802,433.606218,buy,349240226
'2025-05-21 19:36:18.561,0.22801,2296.29209,sell,349240227
'2025-05-21 19:36:18.562,0.228,4170.78528,sell,349240229
'2025-05-21 19:36:18.919,0.22796,246.426622,sell,349240230
'2025-05-21 19:36:19.379,0.22795,10,sell,349240231
'2025-05-21 19:36:20.462,0.2279,10,buy,349240232
'2025-05-21 19:36:21.351,0.22785,10,sell,349240233
'2025-05-21 19:36:21.992,0.22785,10,buy,349240234
'2025-05-21 19:36:22.052,0.22787,15,buy,349240235
'2025-05-21 19:36:22.072,0.22789,15,buy,349240236
'2025-05-21 19:36:23.346,0.22785,10,sell,349240237
'2025-05-21 19:36:23.378,0.22781,109.067939,sell,349240238
'2025-05-21 19:36:23.428,0.2278,10,sell,349240239
'2025-05-21 19:36:23.704,0.22775,10,sell,349240240
'2025-05-21 19:36:23.944,0.2277,10,sell,349240241
'2025-05-21 19:36:24.321,0.22766,109.186056,sell,349240242
'2025-05-21 19:36:24.321,0.22765,10,sell,349240243
'2025-05-21 19:36:24.533,0.2276,1093.634333,sell,349240247
'2025-05-21 19:36:25.572,0.2276,10,buy,349240248
'2025-05-21 19:36:25.912,0.22765,10,buy,349240249
'2025-05-21 19:36:25.926,0.22767,15,buy,349240250
'2025-05-21 19:36:27.905,0.2277,256.713238,buy,349240252
'2025-05-21 19:36:27.905,0.22773,3103,buy,349240253
'2025-05-21 19:36:27.907,0.22775,1459.281803,buy,349240256
'2025-05-21 19:36:27.908,0.22776,3597.984101,buy,349240258
'2025-05-21 19:36:27.909,0.22777,10972.879848,buy,349240263
'2025-05-21 19:36:28.068,0.22774,3890,sell,349240264
'2025-05-21 19:36:30.652,0.2277,10,buy,349240265
'2025-05-21 19:36:32.046,0.22775,10,buy,349240266
'2025-05-21 19:36:35.502,0.22775,10,sell,349240267
'2025-05-21 19:36:36.042,0.2277,10,buy,349240268
'2025-05-21 19:36:36.599,0.22771,1111.650344,buy,349240269
'2025-05-21 19:36:37.199,0.2277,10,sell,349240270
'2025-05-21 19:36:39.431,0.22766,246.74523,sell,349240271
'2025-05-21 19:36:39.455,0.22765,10,sell,349240272
'2025-05-21 19:36:39.814,0.22765,10,buy,349240273
'2025-05-21 19:36:39.892,0.22767,15,buy,349240274
'2025-05-21 19:36:40.459,0.2277,256.723559,buy,349240276
'2025-05-21 19:36:41.415,0.22775,25,buy,349240278
'2025-05-21 19:36:41.842,0.2278,10,buy,349240279
'2025-05-21 19:36:42.918,0.2278,10,buy,349240280
'2025-05-21 19:36:45.729,0.2278,10,buy,349240281
'2025-05-21 19:36:48.972,0.2278,10,buy,349240282
'2025-05-21 19:36:49.953,0.22785,119.064095,buy,349240284
'2025-05-21 19:36:51.072,0.2279,10,buy,349240285
'2025-05-21 19:36:52.252,0.22791,3253.78112,buy,349240286
'2025-05-21 19:36:52.262,0.22791,0.000001,buy,349240287
'2025-05-21 19:36:52.282,0.22795,10,buy,349240288
'2025-05-21 19:36:55.055,0.22795,121.09332,buy,349240289
'2025-05-21 19:36:55.062,0.22798,1096.924224,buy,349240290
'2025-05-21 19:36:55.063,0.22799,1096.924224,buy,349240291
'2025-05-21 19:36:55.064,0.228,2785.568634,buy,349240297
'2025-05-21 19:36:55.380,0.228,10,sell,349240298
'2025-05-21 19:36:56.271,0.22798,30,sell,349240299
'2025-05-21 19:36:56.897,0.228,257.590657,buy,349240300
'2025-05-21 19:36:56.897,0.22801,376.216647,buy,349240301
'2025-05-21 19:36:56.897,0.22802,3059.314685,buy,349240302
'2025-05-21 19:36:58.275,0.228,10,sell,349240303
'2025-05-21 19:36:59.275,0.22802,394.328405,buy,349240304
'2025-05-21 19:36:59.335,0.22803,413.90303,buy,349240307
'2025-05-21 19:36:59.455,0.22803,259.01821,buy,349240308
'2025-05-21 19:37:00.266,0.22804,33.953995,buy,349240311
'2025-05-21 19:37:00.276,0.22804,208,sell,349240312
'2025-05-21 19:37:01.510,0.22805,232.876316,buy,349240314
