ts,open,high,low,close,volume
2025-05-21 19:35:29,107540.0,107540.0,107538.6,107538.6,0.00121878
2025-05-21 19:35:30,107537.1,107537.1,107537.1,107537.1,0.00093
2025-05-21 19:35:31,107537.1,107570.0,107537.1,107570.0,0.98427286
2025-05-21 19:35:32,107570.6,107579.7,107570.5,107579.7,1.00325341
2025-05-21 19:35:33,107579.7,107579.7,107579.7,107579.7,0.00019
2025-05-21 19:35:35,107579.8,107587.9,107579.8,107587.9,0.01306394
2025-05-21 19:35:36,107587.9,107587.9,107577.1,107577.1,0.00363294
2025-05-21 19:35:37,107577.0,107577.0,107577.0,107577.0,1.007e-05
2025-05-21 19:35:38,107577.1,107580.1,107577.1,107580.1,0.00011294
2025-05-21 19:35:39,107581.4,107587.4,107581.4,107587.4,0.00888436
2025-05-21 19:35:41,107587.4,107587.4,107540.1,107587.4,10.00255726
2025-05-21 19:35:43,107580.1,107580.1,107580.1,107580.1,0.00073126
2025-05-21 19:35:44,107580.1,107580.1,107580.1,107580.1,0.00082199
2025-05-21 19:35:45,107580.1,107586.8,107580.1,107586.8,0.15199096
2025-05-21 19:35:48,107587.5,107595.6,107587.5,107595.6,0.01373051
2025-05-21 19:35:51,107600.0,107600.0,107600.0,107600.0,0.00076
2025-05-21 19:35:52,107600.0,107600.0,107600.0,107600.0,0.00093
2025-05-21 19:35:55,107600.0,107600.0,107600.0,107600.0,0.00036312
2025-05-21 19:35:56,107604.0,107604.0,107604.0,107604.0,0.00219826
2025-05-21 19:35:57,107604.0,107604.0,107603.9,107603.9,0.0013073100000000001
2025-05-21 19:35:58,107604.0,107604.0,107604.0,107604.0,0.00021319
2025-05-21 19:36:00,107603.9,107604.0,107603.9,107603.9,0.01923302
2025-05-21 19:36:02,107604.0,107622.0,107604.0,107622.0,0.01668512
2025-05-21 19:36:03,107622.0,107632.0,107622.0,107632.0,0.00703176
2025-05-21 19:36:04,107633.9,107634.0,107633.9,107634.0,0.02040879
2025-05-21 19:36:05,107633.9,107634.0,107633.9,107634.0,0.00754655
