ts,open,high,low,close,volume,mid,log_ret,vol,regime,sem,col,true_sem
2025-05-01 00:00:00+00:00,94169.390625,94194.3515625,94169.390625,94178.4609375,0,94181.87109375,0.0,0.0,0,Bear,red,Side
2025-05-01 00:05:00+00:00,94228.34375,94262.4609375,94228.34375,94262.4609375,7714816,94245.40234375,0.0006743318124644747,0.0,1,Side,blue,Bull
2025-05-01 00:10:00+00:00,94329.140625,94356.515625,94329.140625,94336.328125,0,94342.828125,0.0010332117722818485,0.0,0,Bear,red,Bull
2025-05-01 00:15:00+00:00,94324.96875,94324.96875,94240.03125,94240.03125,694458368,94282.5,-0.0006396609369134682,0.0,1,Side,blue,Bear
2025-05-01 00:20:00+00:00,94243.03125,94260.9296875,94228.4921875,94260.9296875,35063808,94244.7109375,-0.0004008870954826943,0.0,0,Bear,red,Bear
2025-05-01 00:25:00+00:00,94267.15625,94296.46875,94267.15625,94280.1015625,0,94281.8125,0.0003935951536417362,0.0,1,Side,blue,Bull
2025-05-01 00:30:00+00:00,94271.1015625,94277.734375,94259.375,94259.375,35125248,94268.5546875,-0.00014062886983042623,0.0005980406768406638,0,Bear,red,Bear
2025-05-01 00:35:00+00:00,94289.6328125,94289.6328125,94251.9296875,94274.34375,0,94270.78125,2.361907650756846e-05,0.0005972416998011894,1,Side,blue,Bull
2025-05-01 00:40:00+00:00,94266.421875,94303.7890625,94266.421875,94303.7890625,0,94285.10546875,0.00015193605489418596,0.00054930209875856,0,Bear,red,Bull
2025-05-01 00:45:00+00:00,94308.6640625,94379.953125,94308.6640625,94379.953125,0,94344.30859375,0.0006277189296083562,0.00044011523174748035,1,Side,blue,Bull
2025-05-01 00:50:00+00:00,94386.21875,94386.21875,94382.90625,94385.4609375,0,94384.5625,0.00042657921522150957,0.000357729410322262,0,Bear,red,Bull
2025-05-01 00:55:00+00:00,94386.59375,94386.59375,94351.0859375,94372.2890625,721577984,94368.83984375,-0.00016659467952508843,0.00030402800198514574,1,Side,blue,Bear
